Species,Age,Total aboveground biomass (g m-2),Leaf biomass (g m-2),Proportion ANPP to leaves,LAI,Annual production (g m-2),Site,Notes,Source,,,,,,,,
Populus x,18,21930,800,NA,NA,1220,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,19,14400,530,NA,NA,760,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,19,9750,350,NA,NA,510,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,19,9660,340,NA,NA,510,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,19,5660,190,NA,NA,300,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,17,16720,590,NA,NA,980,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,17,15180,540,NA,NA,890,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,17,8870,310,NA,NA,520,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,23,16490,610,NA,NA,720,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,19,17490,610,NA,NA,920,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,19,17160,580,NA,NA,900,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,17,12830,450,NA,NA,750,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,17,10690,390,NA,NA,630,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,20,6240,220,NA,NA,310,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,18,18070,640,NA,NA,1000,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,15,4230,140,NA,NA,280,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,15,19840,680,NA,NA,1320,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,16,20160,720,NA,NA,1260,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,18,21470,770,NA,NA,1190,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,19,8850,280,NA,NA,280,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,19,12520,390,NA,NA,390,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,20,16420,520,NA,NA,520,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Populus x,20,13030,390,NA,NA,390,Southern Sweden,,"Johansson, T. 2013. Biomass production of hybrid aspen growing on former farm land in Sweden. Journal of Forestry Research 24:237–246.",,,,,,,,
Pinus resinosa,2,44.68085106,NA,NA,NA,NA,"Upper peninsula, Michigan",Converted from C density,"King, J. S., C. P. Giardina, K. S. Pregitzer, and A. L. Friend. 2007. Biomass partitioning in red pine ( Pinus resinosa ) along a chronosequence in the Upper Peninsula of Michigan. Canadian Journal of Forest Research 37:93–102.",,,,,,,,
Pinus resinosa,3,112.7659574,NA,NA,NA,NA,"Upper peninsula, Michigan",Converted from C density,"King, J. S., C. P. Giardina, K. S. Pregitzer, and A. L. Friend. 2007. Biomass partitioning in red pine ( Pinus resinosa ) along a chronosequence in the Upper Peninsula of Michigan. Canadian Journal of Forest Research 37:93–102.",,,,,,,,
Pinus resinosa,5,1002.12766,631.9148936,NA,NA,NA,"Upper peninsula, Michigan",Converted from C density,"King, J. S., C. P. Giardina, K. S. Pregitzer, and A. L. Friend. 2007. Biomass partitioning in red pine ( Pinus resinosa ) along a chronosequence in the Upper Peninsula of Michigan. Canadian Journal of Forest Research 37:93–102.",,,,,,,,
Pinus resinosa,8,2104.255319,1240.425532,NA,NA,NA,"Upper peninsula, Michigan",Converted from C density,"King, J. S., C. P. Giardina, K. S. Pregitzer, and A. L. Friend. 2007. Biomass partitioning in red pine ( Pinus resinosa ) along a chronosequence in the Upper Peninsula of Michigan. Canadian Journal of Forest Research 37:93–102.",,,,,,,,
Pinus resinosa,12,3959.574468,1742.553191,NA,NA,NA,"Upper peninsula, Michigan",Converted from C density,"King, J. S., C. P. Giardina, K. S. Pregitzer, and A. L. Friend. 2007. Biomass partitioning in red pine ( Pinus resinosa ) along a chronosequence in the Upper Peninsula of Michigan. Canadian Journal of Forest Research 37:93–102.",,,,,,,,
Pinus resinosa,17,8912.765957,3048.93617,NA,NA,NA,"Upper peninsula, Michigan",Converted from C density,"King, J. S., C. P. Giardina, K. S. Pregitzer, and A. L. Friend. 2007. Biomass partitioning in red pine ( Pinus resinosa ) along a chronosequence in the Upper Peninsula of Michigan. Canadian Journal of Forest Research 37:93–102.",,,,,,,,
Pinus resinosa,22,11359.57447,2540.425532,NA,NA,NA,"Upper peninsula, Michigan",Converted from C density,"King, J. S., C. P. Giardina, K. S. Pregitzer, and A. L. Friend. 2007. Biomass partitioning in red pine ( Pinus resinosa ) along a chronosequence in the Upper Peninsula of Michigan. Canadian Journal of Forest Research 37:93–102.",,,,,,,,
Pinus resinosa,33,25148.93617,4091.489362,NA,NA,NA,"Upper peninsula, Michigan",Converted from C density,"King, J. S., C. P. Giardina, K. S. Pregitzer, and A. L. Friend. 2007. Biomass partitioning in red pine ( Pinus resinosa ) along a chronosequence in the Upper Peninsula of Michigan. Canadian Journal of Forest Research 37:93–102.",,,,,,,,
Pinus resinosa,55,18710.6383,1672.340426,NA,NA,NA,"Upper peninsula, Michigan",Converted from C density,"King, J. S., C. P. Giardina, K. S. Pregitzer, and A. L. Friend. 2007. Biomass partitioning in red pine ( Pinus resinosa ) along a chronosequence in the Upper Peninsula of Michigan. Canadian Journal of Forest Research 37:93–102.",,,,,,,,
Acer saccharum,NA,3900,87,0.322222222,NA,270,Northern WI,Mixed stand,"Pastor, J., and J. G. Bockheim. 1981. Biomass and production of an aspen – mixed hardwood – spodosol ecosystem in northern Wisconsin. Canadian Journal of Forest Research 11:132–138.",,,,,,,,
Acer rubrum,NA,1100,22,0.289473684,NA,76,Northern WI,Mixed stand,"Pastor, J., and J. G. Bockheim. 1981. Biomass and production of an aspen – mixed hardwood – spodosol ecosystem in northern Wisconsin. Canadian Journal of Forest Research 11:132–138.",,,,,,,,
Populus tremuloides,NA,10900,105,0.190909091,NA,550,Northern WI,Mixed stand,"Pastor, J., and J. G. Bockheim. 1981. Biomass and production of an aspen – mixed hardwood – spodosol ecosystem in northern Wisconsin. Canadian Journal of Forest Research 11:132–138.",,,,,,,,
Populus grandidentata,NA,1800,22,0.169230769,NA,130,Northern WI,Mixed stand,"Pastor, J., and J. G. Bockheim. 1981. Biomass and production of an aspen – mixed hardwood – spodosol ecosystem in northern Wisconsin. Canadian Journal of Forest Research 11:132–138.",,,,,,,,
Pinus strobus,32,NA,NA,NA,3,NA,"Coweeta, NC",Plantation,"Vose, J. M., and W. T. Swank. 1990. Assessing seasonal leaf area dynamics and vertical leaf area distribution in eastern white pine (Pinus strobus L.) with a portable light meter. Tree Physiology 7:125–134.",,,,,,,,
Pinus strobus,32,NA,NA,NA,2.9,NA,"Coweeta, NC",Plantation,"Vose, J. M., and W. T. Swank. 1990. Assessing seasonal leaf area dynamics and vertical leaf area distribution in eastern white pine (Pinus strobus L.) with a portable light meter. Tree Physiology 7:125–134.",,,,,,,,
Pinus strobus,32,NA,NA,NA,2.9,NA,"Coweeta, NC",Plantation,"Vose, J. M., and W. T. Swank. 1990. Assessing seasonal leaf area dynamics and vertical leaf area distribution in eastern white pine (Pinus strobus L.) with a portable light meter. Tree Physiology 7:125–134.",,,,,,,,
Pinus strobus,32,NA,NA,NA,3.8,NA,"Coweeta, NC",Plantation,"Vose, J. M., and W. T. Swank. 1990. Assessing seasonal leaf area dynamics and vertical leaf area distribution in eastern white pine (Pinus strobus L.) with a portable light meter. Tree Physiology 7:125–134.",,,,,,,,
Pinus strobus,32,NA,NA,NA,3.2,NA,"Coweeta, NC",Plantation,"Vose, J. M., and W. T. Swank. 1990. Assessing seasonal leaf area dynamics and vertical leaf area distribution in eastern white pine (Pinus strobus L.) with a portable light meter. Tree Physiology 7:125–134.",,,,,,,,
Pinus strobus,60,NA,NA,NA,3.5,NA,Central Maine,timeseries available for treated & untreated stands,"Guiterman, C. H., R. S. Seymour, and A. R. Weiskittel. 2012. Long-term thinning effects on the leaf area of Pinus strobus L. as estimated from litterfall and individual-tree allometric models. Forest Science 58:85–93.",,,,,,,,
Pinus strobus,43,NA,NA,NA,4.5,NA,Central Maine,timeseries available for treated & untreated stands,"Guiterman, C. H., R. S. Seymour, and A. R. Weiskittel. 2012. Long-term thinning effects on the leaf area of Pinus strobus L. as estimated from litterfall and individual-tree allometric models. Forest Science 58:85–93.",,,,,,,,
Various pines,NA,NA,NA,NA,NA,NA,NA,TODO - no biomass though,"Vose, J. M., P. M. Dougherty, J. N. Long, F. W. Smith, H. L. Gholz, and P. J. Curran. 1994. Factors Influencing the Amount and Distribution of Leaf Area of Pine Stands. Ecological Bulletins:102–114.",,,,,,,,
Populus tremuloides,5,3480,420,NA,NA,NA,BC - good site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,15,6770,650,NA,NA,NA,BC - good site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,25,7560,360,NA,NA,NA,BC - good site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,54,16150,360,NA,NA,NA,BC - good site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,65,26400,370,NA,NA,NA,BC - good site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,95,35970,360,NA,NA,NA,BC - good site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,5,830,150,NA,NA,NA,BC - Moderate site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,15,5560,310,NA,NA,NA,BC - Moderate site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,25,7330,310,NA,NA,NA,BC - Moderate site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
